model,batch_size,total_seconds,latency_ms_per_sample,samples_per_second,model_bytes
rf_chi2,1,8.600809299998218,17.03130554455093,58.715404839879966,658172
rf_chi2,32,0.29529909999109805,0.5847506930516793,1710.1305084073183,658172
rf_chi2,128,0.1117450000019744,0.22127722772668199,4519.217862016889,658172
rf_chi2,512,0.02859659999376163,0.0566269306807161,17659.44203542261,658172
weighted_rf_chi2,1,3.915312500001164,7.753094059408246,128.98076462602918,659210
weighted_rf_chi2,32,0.12585609999950975,0.24921999999902925,4012.5190594811625,659210
weighted_rf_chi2,128,0.038522399991052225,0.07628198018030144,13109.255916487515,659210
weighted_rf_chi2,512,0.012302899995120242,0.024362178208158895,41047.23278253912,659210
extra_trees_chi2,1,8.59706770000048,17.023896435644513,58.74095885041964,614459
extra_trees_chi2,32,0.3619765999901574,0.7167853465151632,1395.1178059955575,614459
extra_trees_chi2,128,0.10320509999291971,0.20436653463944499,4893.169039462634,614459
extra_trees_chi2,512,0.028250899980776012,0.05594237619955646,17875.536720728865,614459
